# FieldId Time[UTC] deltaT[sec] RA Dec
13523 2021-09-02T05:08:50.038 107.444 266.12903 36.69514
13706 2021-09-02T05:10:37.482 107.992 265.05493 38.26900
13884 2021-09-02T05:12:25.474 108.553 263.93259 39.84285
14059 2021-09-02T05:14:14.027 343.804 262.75861 41.41670
14557 2021-09-02T05:19:57.831 111.407 258.26086 46.13826
14715 2021-09-02T05:21:49.238 128.201 256.81528 47.71211
14867 2021-09-02T05:23:57.439 130.458 254.60526 49.28596
15015 2021-09-02T05:26:07.897 479.852 252.24490 50.85982
15556 2021-09-02T05:34:07.749 141.051 243.77954 57.15523
15678 2021-09-02T05:36:28.800 143.969 240.49181 58.72908
15796 2021-09-02T05:38:52.769 173.587 236.92308 60.30293
15907 2021-09-02T05:41:46.356 1992.836 231.89189 61.87680
15884 2021-09-02T06:14:59.192 136.342 157.29730 61.87680
15769 2021-09-02T06:17:15.534 173.726 153.84616 60.30293
15647 2021-09-02T06:20:09.260 267.718 149.01639 58.72908
15390 2021-09-02T06:24:36.978 258.653 143.18181 55.58138
15113 2021-09-02T06:28:55.631 250.45 138.16902 52.43367
14816 2021-09-02T06:33:06.081 95.523 133.81578 49.28596
14661 2021-09-02T06:34:41.604 128.858 132.99362 47.71211
14500 2021-09-02T06:36:50.462 221.066 130.80745 46.13826
14166 2021-09-02T06:40:31.528 125.082 128.11766 42.99055
13993 2021-09-02T06:42:36.610 199.955 126.20689 41.41670
13635 2021-09-02T06:45:56.565 122.452 124.61539 38.26900
13449 2021-09-02T06:47:59.017 106.187 122.90322 36.69514
13261 2021-09-02T06:49:45.204 748.419 121.90476 35.12129
11850 2021-09-02T07:02:13.623 91.066 115.16588 24.10432
11638 2021-09-02T07:03:44.689 312.296 114.92958 22.53047
10987 2021-09-02T07:08:56.985 2881.122 112.60274 17.80891
04717 2021-09-02T07:56:58.107 114.873 93.04348 -26.25896
04512 2021-09-02T07:58:52.980 305.089 91.76471 -27.83282
03914 2021-09-02T08:03:58.069 116.617 89.53847 -32.55437
03721 2021-09-02T08:05:54.686 106.467 88.12500 -34.12823
03531 2021-09-02T08:07:41.153 106.993 87.12766 -35.70208
03346 2021-09-02T08:09:28.146 118.55 86.08696 -37.27593
03163 2021-09-02T08:11:26.696 108.171 84.53039 -38.84978
02985 2021-09-02T08:13:14.867 108.73 83.38983 -40.42364
02810 2021-09-02T08:15:03.597 98.042 82.19653 -41.99749
02641 2021-09-02T08:16:41.639 109.807 81.42857 -43.57134
02475 2021-09-02T08:18:31.446 365.227 80.12196 -45.14520
02005 2021-09-02T08:24:36.673 113.349 74.40000 -49.86675
01857 2021-09-02T08:26:30.022 359.604 72.73972 -51.44061
01445 2021-09-02T08:32:29.626 172.372 66.46154 -56.16217
01317 2021-09-02T08:35:21.998 107.713 61.92000 -57.73602
01196 2021-09-02T08:37:09.711 180.969 60.00000 -59.30987
01078 2021-09-02T08:40:10.680 176.574 54.78261 -60.88372
00967 2021-09-02T08:43:07.254 184.049 49.54128 -62.45758
00861 2021-09-02T08:46:11.303 200.37 43.68932 -64.03143
00761 2021-09-02T08:49:31.673 376.626 36.73469 -65.60529
00664 2021-09-02T08:55:48.299 90.856 21.52174 -67.17914
00663 2021-09-02T08:57:19.155 91.101 17.60870 -67.17914
00662 2021-09-02T08:58:50.256 90.985 13.69565 -67.17914
00661 2021-09-02T09:00:21.241 90.506 9.78261 -67.17914
00660 2021-09-02T09:01:51.747 330.601 5.86957 -67.17914
00847 2021-09-02T09:07:22.348 233.796 352.65305 -65.60529
00947 2021-09-02T09:11:16.144 142.875 344.27182 -64.03143
01055 2021-09-02T09:13:39.019 351.078 340.18347 -62.45758
01286 2021-09-02T09:19:30.097 135.899 330.00000 -59.30987
01409 2021-09-02T09:21:45.996 133.48 326.88000 -57.73602
01538 2021-09-02T09:23:59.476 124.508 324.00000 -56.16217
01672 2021-09-02T09:26:03.984 128.751 321.61761 -54.58831
01812 2021-09-02T09:28:12.735 126.685 319.14893 -53.01446
01956 2021-09-02T09:30:19.420 131.705 316.84930 -51.44061
02105 2021-09-02T09:32:31.125 320.237 314.40002 -49.86675
02580 2021-09-02T09:37:51.362 126.899 310.60977 -45.14520
02747 2021-09-02T09:39:58.261 118.257 308.57141 -43.57134
02918 2021-09-02T09:41:56.518 200.645 306.93640 -41.99749
03274 2021-09-02T09:45:17.163 4781.488 305.30386 -38.84978
13148 2021-09-02T11:04:58.651 105.847 269.53366 33.54744
13338 2021-09-02T11:06:44.498 992.089 268.57144 35.12129
14868 2021-09-02T11:23:16.587 128.21 256.97369 49.28596
15016 2021-09-02T11:25:24.797 130.502 254.69388 50.85982
15158 2021-09-02T11:27:35.299 790.062 252.25352 52.43367
15908 2021-09-02T11:40:45.361 2275.749 235.13515 61.87680
15768 2021-09-02T12:18:41.110 102.445 150.76923 60.30293
15647 2021-09-02T12:20:23.555 167.614 149.01639 58.72908
15521 2021-09-02T12:23:11.169 100.176 144.56694 57.15523
15390 2021-09-02T12:24:51.345 258.527 143.18181 55.58138
15113 2021-09-02T12:29:09.872 250.189 138.16902 52.43367
14816 2021-09-02T12:33:20.061 96.034 133.81578 49.28596
14661 2021-09-02T12:34:56.095 128.5 132.99362 47.71211
14500 2021-09-02T12:37:04.595 221.174 130.80745 46.13826
14166 2021-09-02T12:40:45.769 325.175 128.11766 42.99055
13635 2021-09-02T12:46:10.944 122.009 124.61539 38.26900
13449 2021-09-02T12:48:12.953 106.223 122.90322 36.69514
13261 2021-09-02T12:49:59.176 839.581 121.90476 35.12129
11638 2021-09-02T13:03:58.757 91.507 114.92958 22.53047
11423 2021-09-02T13:05:30.264 312.126 114.69768 20.95662
10767 2021-09-02T13:10:42.390 2864.144 112.39819 16.23506
04513 2021-09-02T13:58:26.534 114.584 93.52941 -27.83282
04310 2021-09-02T14:00:21.118 633.772 92.23881 -29.40667
03164 2021-09-02T14:10:54.890 107.184 86.51934 -38.84978
02986 2021-09-02T14:12:42.074 107.706 85.42373 -40.42364
02811 2021-09-02T14:14:29.780 465.769 84.27745 -41.99749
02157 2021-09-02T14:22:15.549 99.894 77.80645 -48.29290
02006 2021-09-02T14:23:55.443 112.049 76.80000 -49.86675
01858 2021-09-02T14:25:47.492 261.782 75.20548 -51.44061
01577 2021-09-02T14:30:09.274 259.99 70.14706 -54.58831
01318 2021-09-02T14:34:29.264 106.003 64.80000 -57.73602
